Episode,Reward,Steps,Loss,Goal_Row,Goal_Col
1,97.9,4,0.0,1,1
2,41.59999999999993,117,114.84741831699321,0,5
3,58.49999999999994,110,101.39322981075807,3,5
4,97.5,8,87.84215113520622,2,0
5,84.2,42,61.73590662933531,3,2
6,78.3,56,71.39029690836158,3,5
7,72.0,56,72.49232566250222,0,3
8,99.6,5,86.61575088500976,2,1
9,98.6,6,63.02751183509827,3,0
10,-47.10000000000008,120,72.95347777356704,1,5
11,57.89999999999996,89,54.46630608767606,3,5
12,95.4,11,93.68498329682784,3,0
13,-48.90000000000006,120,67.47945848455032,0,3
14,-45.30000000000007,120,67.76637437889973,0,5
15,79.6,52,62.35355240851641,0,5
16,99.0,2,140.94111251831055,1,0
17,89.0,30,91.4771577278773,2,1
18,94.2,14,63.398009832416264,0,5
19,92.0,18,108.84484983152814,5,0
20,100.0,1,174.95445251464844,1,0
21,97.6,7,124.56823607853481,2,1
22,-50.700000000000045,120,77.8959585390985,1,3
23,84.80000000000001,36,78.87081636819575,4,5
24,84.2,42,59.241321234476,5,4
25,87.4,37,68.64651800329621,0,5
26,91.4,24,89.16149512926738,3,0
27,86.4,29,98.14086609462211,3,2
28,-48.90000000000007,120,77.4550401310126,0,5
29,56.199999999999925,106,67.45131901525102,5,0
30,-51.600000000000065,120,68.75899049242338,5,0
31,-63.30000000000007,120,51.866810417175294,5,2
32,81.30000000000001,35,28.967921713420324,1,3
33,90.5,24,59.543242494265236,3,5
34,-48.00000000000006,120,55.60128443837166,3,5
35,89.30000000000001,36,50.6547361281183,1,3
36,64.49999999999997,86,55.24894844238148,5,5
37,78.1,58,47.631495352449086,1,5
38,-54.300000000000054,120,61.021571823457876,1,5
39,96.7,7,57.70100923946926,1,1
40,-48.000000000000085,120,60.31591124633948,3,2
41,-57.000000000000064,120,58.77212536086639,2,5
42,-60.60000000000006,120,46.31882912615935,1,1
43,98.5,7,56.61684087344578,1,1
44,97.7,15,44.39350746472677,2,0
45,92.30000000000001,24,41.966346718370914,5,1
46,70.99999999999997,66,55.07231654362245,4,5
47,85.4,30,65.75711417595545,3,2
48,87.80000000000001,33,82.23913562117201,3,0
49,87.10000000000001,40,66.581195089221,5,1
50,-59.70000000000006,120,63.828481658299765,3,2
51,99.9,2,151.38376235961914,1,1
52,85.5,29,47.34052452547797,5,5
53,73.79999999999998,47,54.80014162367963,5,4
54,79.69999999999999,60,62.55423808495204,3,5
55,99.9,2,149.30102491378784,2,0
56,74.99999999999997,80,51.59793222248554,4,5
57,60.59999999999999,80,55.12093311995268,2,5
58,96.0,23,30.15932227217633,3,0
59,91.4,15,52.35940181414286,5,0
60,82.7,39,68.56154811382294,5,5
61,-62.400000000000055,120,61.77447935839494,2,5
62,97.9,4,72.94244468212128,2,0
63,94.2,14,47.720532349177766,0,5
64,99.9,2,2.272668719291687,1,1
65,-54.30000000000004,120,49.044978471597034,5,2
66,78.39999999999999,37,52.256121039390564,5,0
67,63.29999999999996,89,43.99532914161682,5,5
68,-54.30000000000007,120,53.26015324294567,3,2
69,-65.10000000000007,120,39.77758529980977,5,1
70,89.60000000000001,24,62.62514234582583,0,3
71,66.09999999999998,61,44.448770786895125,5,5
72,94.8,8,104.28482784330845,0,3
73,99.9,2,85.14438319206238,1,1
74,99.8,3,95.35149184862773,0,3
75,50.69999999999995,107,50.65515754601666,5,5
76,-58.800000000000075,120,51.21745176215966,3,2
77,98.8,4,58.99001657962799,3,0
78,97.4,9,47.109516355726456,0,5
79,99.9,2,80.06774353981018,1,1
80,71.79999999999998,58,47.64176400776567,2,5
81,98.7,5,58.30991983413696,2,0
82,88.6,25,63.03819574356079,0,5
83,80.6,51,50.98436206929824,4,5
84,89.8,22,51.041668794371866,0,3
85,96.0,14,61.27714829785483,5,0
86,-52.50000000000007,120,49.7340973118941,5,5
87,98.8,4,44.417908906936646,3,0
88,94.0,16,51.07868763804436,0,3
89,-71.40000000000002,120,36.55376965602239,2,1
90,74.5,49,41.50565705494005,5,1
91,63.09999999999996,73,46.740922522871465,5,5
92,-60.60000000000006,120,39.24821924964587,2,1
93,63.09999999999999,73,38.0630226984416,3,5
94,-67.8,120,37.59606224099795,1,3
95,42.99999999999995,103,37.56858036124591,2,5
96,-65.10000000000005,120,41.296967991193135,1,1
97,74.39999999999998,59,38.411244457050906,4,5
98,77.3,39,40.32215266349988,5,1
99,68.99999999999997,59,37.469193531295,3,2
100,97.6,7,27.701356479099818,0,5
101,91.0,19,67.2165124039901,3,0
102,96.6,8,36.918774485588074,0,3
103,98.6,6,67.14524507522583,2,1
104,95.1,14,38.63036666597639,2,0
105,93.5,30,30.10383874575297,5,5
106,-52.50000000000006,120,36.359643634160356,3,2
107,-73.19999999999999,120,42.75911804437637,1,3
108,-74.09999999999994,120,40.15890613396962,5,2
109,80.79999999999998,40,30.09764392375946,0,5
110,88.60000000000001,25,37.23841011047363,2,5
111,87.0,23,59.67208319124968,5,2
112,62.999999999999986,74,39.75540027747283,5,4
113,86.2,22,30.490443511442706,3,0
114,77.1,50,38.253353443145755,3,5
115,99.7,4,30.57706320285797,1,1
116,46.99999999999995,99,33.306835270891284,5,4
117,53.79999999999994,103,45.05083226231695,2,5
