State_Index,Row,Col,Q_Up,Q_Down,Q_Left,Q_Right,Best_Action,Max_Q_Value
0,0,0,63.71065629351678,54.984735889211265,63.34575684557131,69.2304042015621,3,69.2304042015621
1,0,1,66.9784767660083,65.81985931577789,64.71199498328536,72.97937284374964,3,72.97937284374964
2,0,2,71.61484593671958,66.79452840584432,67.62359681332052,76.92565562499968,3,76.92565562499968
3,0,3,75.47567860547437,74.6099883595011,71.21161552556198,81.07963749999973,3,81.07963749999973
4,0,4,80.15704514412722,85.4522499999998,76.8457957559438,80.11116587485364,1,85.4522499999998
5,1,0,63.889526483099694,6.6155818057729405,6.266996498271272,16.250875554055092,0,63.889526483099694
6,1,1,0.0,0.0,0.0,0.0,0,0.0
7,1,2,42.94978209277622,75.09921071493399,28.703181507155385,28.059655311635243,1,75.09921071493399
8,1,3,0.0,0.0,0.0,0.0,0,0.0
9,1,4,80.72659217960795,90.05499999999984,84.01625739035154,83.5790550352328,1,90.05499999999984
10,2,0,0.7573152817572051,1.7464898474954675,2.087638619171465,18.880105021058334,3,18.880105021058334
11,2,1,8.152247751416537,5.069922584271033,3.3302140308658887,53.89304698754283,3,53.89304698754283
12,2,2,30.229528807512473,82.29028621943763,27.178385565974978,34.48491703865253,1,82.29028621943763
13,2,3,0.0,0.0,0.0,0.0,0,0.0
14,2,4,85.00950628989149,94.89999999999989,88.49274980648045,89.04087528857613,1,94.89999999999989
15,3,0,0.8499599083147515,6.187376331722154,-0.014049089224934197,0.053601271724067145,1,6.187376331722154
16,3,1,0.0,0.0,0.0,0.0,0,0.0
17,3,2,30.13356016980258,88.65904587083226,54.433863736776736,71.58504156273325,1,88.65904587083226
18,3,3,70.9229736714305,73.04826824917713,34.99012203291643,94.86429782925393,3,94.86429782925393
19,3,4,89.61698646223914,99.99999999999994,89.59582883503592,93.85594669201639,1,99.99999999999994
20,4,0,1.1546939228405648,2.647673473562367,4.315128231954198,35.45344967070135,3,35.45344967070135
21,4,1,22.28589533144524,31.382174265879463,12.706312915327493,72.79838661605189,3,72.79838661605189
22,4,2,50.7330218935289,55.39262700742879,45.05734656795044,94.44672688663965,3,94.44672688663965
23,4,3,64.4699748779161,67.62592599275935,59.9780204076264,99.91404955442827,3,99.91404955442827
24,4,4,0.0,0.0,0.0,0.0,0,0.0
